name,created_date,last_modified_date
Action, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Adventure, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Animation, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Biography, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Comedy, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Crime, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Documentary, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Drama, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Family, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Fantasy, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Film Noir, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
History, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Horror, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Music, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Musical, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Mystery, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Romance, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Sci-Fi, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Short Film, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Sport, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Superhero, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Thriller, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
War, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP
Western, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP